t1,ch1
-0.359166792,0.017122984
-0.339166792,0.01811923
-0.319166792,0.023100462
-0.299166792,0.021107969
-0.279166792,0.022104216
-0.259166792,0.017122984
-0.239166792,0.021107969
-0.219166792,0.019115477
-0.199166792,0.023100462
-0.179166792,0.022104216
-0.159166792,0.017122984
-0.139166792,0.022104216
-0.119166792,0.015130491
-0.099166792,0.024096708
-0.079166792,0.015130491
-0.059166792,0.024096708
-0.039166792,0.020111723
-0.019166792,0.020111723
0.000833208,0.022104216
0.020833208,0.017122984
0.040833208,0.025092955
0.060833208,0.015130491
0.080833208,0.019115477
0.100833208,0.021107969
0.120833208,0.001183043
0.140833208,0.015130491
0.160833208,0.021107969
0.180833208,0.025092955
0.200833208,0.030074186
0.220833208,0.019115477
0.240833208,0.025092955
0.260833208,0.033062925
0.280833208,0.021107969
0.300833208,0.021107969
0.320833208,0.016126738
0.340833208,0.016126738
0.360833208,0.01811923
0.380833208,0.025092955
0.400833208,0.019115477
0.420833208,0.019115477
0.440833208,0.017122984
0.460833208,0.027085447
0.480833208,0.021107969
0.500833208,0.026089201
0.520833208,0.015130491
0.540833208,0.017122984
0.560833208,0.023100462
0.580833208,0.01811923
0.600833208,0.024096708
0.620833208,0.019115477
0.640833208,0.020111723
0.660833208,0.023100462
0.680833208,0.021107969
0.700833208,0.019115477
0.720833208,0.019115477
0.740833208,0.020111723
0.760833208,0.024096708
0.780833208,0.024096708
0.800833208,0.019115477
0.820833208,0.024096708
0.840833208,0.025092955
0.860833208,0.027085447
0.880833208,0.021107969
0.900833208,0.022104216
0.920833208,0.022104216
0.940833208,0.021107969
0.960833208,0.023100462
0.980833208,0.021107969
1.000833208,0.026089201
1.020833208,0.026089201
1.040833208,0.020111723
1.060833208,0.022104216
1.080833208,0.023100462
1.100833208,0.024096708
1.120833208,0.021107969
1.140833208,0.019115477
1.160833208,0.003175535
1.180833208,0.016126738
1.200833208,0.021107969
1.220833208,0.021107969
1.240833208,0.017122984
1.260833208,0.012141752
1.280833208,0.022104216
1.300833208,0.024096708
1.320833208,0.019115477
1.340833208,0.014134245
1.360833208,0.015130491
1.380833208,0.019115477
1.400833208,0.022104216
1.420833208,0.021107969
1.440833208,0.025092955
1.460833208,0.022104216
1.480833208,0.021107969
1.500833208,0.021107969
1.520833208,0.023100462
1.540833208,0.017122984
1.560833208,0.028081694
1.580833208,0.01811923
1.600833208,0.016126738
1.620833208,0.024096708
1.640833208,0.020111723
1.660833208,0.019115477
1.680833208,0.026089201
1.700833208,0.026089201
1.720833208,0.019115477
1.740833208,0.013137999
1.760833208,0.012141752
1.780833208,0.036051664
1.800833208,0.026089201
1.820833208,0.024096708
1.840833208,0.020111723
1.860833208,0.017122984
1.880833208,0.01811923
1.900833208,0.01811923
1.920833208,0.017122984
1.940833208,0.022104216
1.960833208,0.021107969
1.980833208,0.021107969
2.000833208,0.019115477
2.020833208,0.026089201
2.040833208,0.022104216
2.060833208,0.013137999
2.080833208,-0.00080945
2.100833208,0.024096708
2.120833208,0.017122984
2.140833208,0.01811923
2.160833208,0.019115477
2.180833208,0.013137999
2.200833208,0.015130491
2.220833208,0.01811923
2.240833208,0.017122984
2.260833208,0.017122984
2.280833208,0.016126738
2.300833208,0.019115477
2.320833208,-0.004794436
2.340833208,0.016126738
2.360833208,0.015130491
2.380833208,0.01811923
2.400833208,0.020111723
2.420833208,0.017122984
2.440833208,0.021107969
2.460833208,0.022104216
2.480833208,0.021107969
2.500833208,0.026089201
2.520833208,0.024096708
2.540833208,0.023100462
2.560833208,0.01811923
2.580833208,0.01811923
2.600833208,0.016126738
2.620833208,0.021107969
2.640833208,0.020111723
2.660833208,0.01811923
2.680833208,0.019115477
2.700833208,0.016126738
2.720833208,0.022104216
2.740833208,0.020111723
2.760833208,0.019115477
2.780833208,0.020111723
2.800833208,0.011145506
2.820833208,0.023100462
2.840833208,0.024096708
2.860833208,0.064942808
2.880833208,0.050995359
2.900833208,0.049002867
2.920833208,0.045017881
2.940833208,0.047010374
2.960833208,0.049999113
2.980833208,0.046014128
3.000833208,0.032066679
3.020833208,0.042029142
3.040833208,0.044021635
3.060833208,0.044021635
3.080833208,0.037047911
3.100833208,0.04003665
3.120833208,0.032066679
3.140833208,0.038044157
3.160833208,0.033062925
3.180833208,0.035055418
3.200833208,0.027085447
3.220833208,0.026089201
3.240833208,0.034059172
3.260833208,0.026089201
3.280833208,0.033062925
3.300833208,0.031070433
3.320833208,0.030074186
3.340833208,0.028081694
3.360833208,0.027085447
3.380833208,0.02907794
3.400833208,0.026089201
3.420833208,0.02907794
3.440833208,0.028081694
3.460833208,0.028081694
3.480833208,0.024096708
3.500833208,0.030074186
3.520833208,0.026089201
3.540833208,0.036051664
3.560833208,0.035055418
3.580833208,0.030074186
3.600833208,0.037047911
3.620833208,0.026089201
3.640833208,0.027085447
3.660833208,0.028081694
3.680833208,0.031070433
3.700833208,-0.002801943
3.720833208,0.030074186
3.740833208,0.02907794
3.760833208,0.024096708
3.780833208,0.033062925
3.800833208,0.026089201
3.820833208,0.030074186
3.840833208,0.030074186
3.860833208,0.032066679
3.880833208,0.028081694
3.900833208,0.015130491
3.920833208,0.023100462
3.940833208,0.028081694
3.960833208,0.027085447
3.980833208,0.030074186
4.000833208,0.031070433
4.020833208,0.033062925
4.040833208,0.033062925
4.060833208,0.034059172
4.080833208,0.030074186
4.100833208,0.031070433
4.120833208,0.035055418
4.140833208,0.028081694
4.160833208,0.031070433
4.180833208,0.033062925
4.200833208,0.028081694
4.220833208,0.034059172
4.240833208,0.030074186
4.260833208,0.038044157
4.280833208,0.025092955
4.300833208,0.02907794
4.320833208,0.030074186
4.340833208,0.030074186
4.360833208,0.033062925
4.380833208,0.031070433
4.400833208,0.031070433
4.420833208,0.031070433
4.440833208,0.021107969
4.460833208,0.031070433
4.480833208,0.02907794
4.500833208,0.035055418
4.520833208,0.02907794
4.540833208,0.030074186
4.560833208,0.032066679
4.580833208,0.024096708
4.600833208,0.024096708
4.620833208,0.02907794
4.640833208,0.033062925
4.660833208,0.030074186
4.680833208,0.032066679
4.700833208,0.034059172
4.720833208,0.02907794
4.740833208,0.031070433
4.760833208,0.034059172
4.780833208,0.023100462
4.800833208,0.026089201
4.820833208,0.030074186
4.840833208,0.031070433
4.860833208,0.031070433
4.880833208,0.030074186
4.900833208,0.025092955
4.920833208,0.028081694
4.940833208,0.041032896
4.960833208,0.02907794
4.980833208,0.026089201
5.000833208,0.025092955
5.020833208,0.030074186
5.040833208,0.023100462
5.060833208,0.027085447
5.080833208,0.032066679
5.100833208,0.032066679
5.120833208,0.032066679
5.140833208,0.02907794
5.160833208,0.028081694
5.180833208,0.02907794
5.200833208,0.031070433
5.220833208,0.026089201
5.240833208,0.026089201
5.260833208,0.027085447
5.280833208,0.026089201
