time,milk,no_milk
206,0.903458538,0.691294327
206.5,0.898489361,0.691294327
207,0.898489361,0.691294327
207.5,0.903458538,0.691294327
208,0.903458538,0.681356583
208.5,0.908427715,0.696263199
209,0.903458538,0.691294327
209.5,0.913396893,0.696263199
210,0.908427715,0.691294327
210.5,0.903458538,0.691294327
211,0.913396893,0.691294327
211.5,0.903458538,0.696263199
212,0.908427715,0.696263199
212.5,0.913396893,0.696263199
213,0.903458538,0.696263199
213.5,0.91836607,0.701232071
214,0.913396893,0.701232071
214.5,0.903458538,0.691294327
215,0.908427715,0.696263199
215.5,0.903458538,0.691294327
216,0.903458538,0.701232071
216.5,0.913396893,0.691294327
217,0.908427715,0.696263199
217.5,0.913396893,0.701232071
218,0.913396893,0.691294327
218.5,0.913396893,0.701232071
219,0.913396893,0.701232071
219.5,0.913396893,0.696263199
220,0.913396893,0.701232071
220.5,0.91836607,0.706200943
221,0.913396893,0.701232071
221.5,0.913396893,0.711169815
222,0.91836607,0.706200943
222.5,0.923335247,0.711169815
223,0.91836607,0.706200943
223.5,0.908427715,0.691294327
224,0.923335247,0.711169815
224.5,0.913396893,0.701232071
225,0.913396893,0.706200943
225.5,0.91836607,0.701232071
226,0.91836607,0.711169815
226.5,0.91836607,0.706200943
227,0.913396893,0.706200943
227.5,0.908427715,0.706200943
228,0.923335247,0.706200943
228.5,0.91836607,0.711169815
229,0.928304424,0.716138687
229.5,0.91836607,0.711169815
230,0.923335247,0.721107559
230.5,0.908427715,0.701232071
231,0.91836607,0.706200943
231.5,0.91836607,0.706200943
232,0.913396893,0.706200943
232.5,0.91836607,0.716138687
233,0.923335247,0.711169815
233.5,0.91836607,0.711169815
234,0.913396893,0.706200943
234.5,0.91836607,0.711169815
235,0.928304424,0.711169815
235.5,0.91836607,0.711169815
236,0.91836607,0.706200943
236.5,0.923335247,0.706200943
237,0.91836607,0.716138687
237.5,0.923335247,0.716138687
238,0.923335247,0.711169815
238.5,0.923335247,0.716138687
239,0.91836607,0.716138687
239.5,0.923335247,0.721107559
240,0.928304424,0.721107559
240.5,0.928304424,0.726076431
241,0.928304424,0.726076431
241.5,0.928304424,0.731045303
242,0.938242779,0.726076431
242.5,0.923335247,0.716138687
243,0.91836607,0.716138687
243.5,0.928304424,0.731045303
244,0.933273602,0.736014175
244.5,0.928304424,0.721107559
245,0.933273602,0.731045303
245.5,0.938242779,0.731045303
246,0.928304424,0.726076431
246.5,0.928304424,0.721107559
247,0.928304424,0.726076431
247.5,0.923335247,0.731045303
248,0.928304424,0.721107559
248.5,0.933273602,0.731045303
249,0.933273602,0.740983047
249.5,0.938242779,0.740983047
250,0.933273602,0.731045303
250.5,0.933273602,0.731045303
251,0.928304424,0.726076431
251.5,0.938242779,0.740983047
252,0.933273602,0.731045303
252.5,0.928304424,0.731045303
253,0.928304424,0.740983047
253.5,0.933273602,0.740983047
254,0.933273602,0.740983047
254.5,0.933273602,0.731045303
255,0.933273602,0.74595192
255.5,0.933273602,0.736014175
256,0.933273602,0.731045303
256.5,0.933273602,0.740983047
257,0.933273602,0.74595192
257.5,0.933273602,0.736014175
258,0.933273602,0.731045303
258.5,0.943211956,0.740983047
259,0.933273602,0.740983047
259.5,0.938242779,0.740983047
260,0.938242779,0.74595192
260.5,0.938242779,0.74595192
261,0.943211956,0.740983047
261.5,0.938242779,0.74595192
262,0.933273602,0.740983047
262.5,0.933273602,0.740983047
263,0.943211956,0.740983047
263.5,0.943211956,0.74595192
264,0.938242779,0.755889664
264.5,0.948181133,0.750920792
265,0.933273602,0.740983047
265.5,0.943211956,0.755889664
266,0.938242779,0.755889664
266.5,0.943211956,0.74595192
267,0.938242779,0.750920792
267.5,0.933273602,0.750920792
268,0.943211956,0.750920792
268.5,0.943211956,0.755889664
269,0.943211956,0.750920792
269.5,0.943211956,0.750920792
270,0.938242779,0.750920792
270.5,0.943211956,0.755889664
271,0.933273602,0.74595192
271.5,0.948181133,0.755889664
272,0.943211956,0.755889664
272.5,0.943211956,0.755889664
273,0.948181133,0.755889664
273.5,0.948181133,0.755889664
274,0.943211956,0.755889664
274.5,0.948181133,0.760858536
275,0.958119488,0.77079628
275.5,0.943211956,0.750920792
276,0.948181133,0.765827408
276.5,0.948181133,0.760858536
277,0.948181133,0.760858536
277.5,0.953150311,0.760858536
278,0.948181133,0.760858536
278.5,0.948181133,0.760858536
279,0.953150311,0.755889664
279.5,0.963088665,0.77079628
280,0.943211956,0.760858536
280.5,0.948181133,0.760858536
281,0.953150311,0.765827408
281.5,0.948181133,0.755889664
282,0.948181133,0.765827408
282.5,0.948181133,0.765827408
283,0.943211956,0.760858536
283.5,0.953150311,0.765827408
284,0.953150311,0.77079628
284.5,0.953150311,0.760858536
285,0.953150311,0.760858536
285.5,0.948181133,0.755889664
286,0.953150311,0.77079628
286.5,0.953150311,0.765827408
287,0.958119488,0.775765152
287.5,0.953150311,0.760858536
288,0.958119488,0.765827408
288.5,0.953150311,0.755889664
