t1,ch1,t2,ch2
0.66,0.12329771041870118,0.660000125,-0.014285507202148436
0.68,0.12329771041870118,0.6800001250000001,-0.019254379272460938
0.7000000000000001,0.11832853317260743,0.7000001250000001,-0.019254379272460938
0.72,0.13323606491088869,0.720000125,-0.019254379272460938
0.74,0.12329771041870118,0.740000125,-0.014285507202148436
0.76,0.11832853317260743,0.760000125,-0.019254379272460938
0.78,0.12826688766479494,0.780000125,-0.014285507202148436
0.8,0.11832853317260743,0.8000001250000001,-0.019254379272460938
0.8200000000000001,0.12329771041870118,0.8200001250000001,-0.014285507202148436
0.84,0.13323606491088869,0.840000125,-0.009316635131835936
0.86,0.12826688766479494,0.860000125,-0.014285507202148436
0.88,0.12329771041870118,0.880000125,-0.014285507202148436
0.9,0.12826688766479494,0.900000125,-0.0043477630615234375
0.92,0.12329771041870118,0.9200001250000001,-0.009316635131835936
0.9400000000000001,0.12826688766479494,0.9400001250000001,-0.009316635131835936
0.96,0.12826688766479494,0.960000125,-0.009316635131835936
0.98,0.12826688766479494,0.980000125,-0.009316635131835936
1.0,0.12826688766479494,1.000000125,-0.014285507202148436
1.02,0.12329771041870118,1.020000125,-0.019254379272460938
1.04,0.11832853317260743,1.040000125,-0.014285507202148436
1.06,0.12329771041870118,1.060000125,-0.009316635131835936
1.08,0.11832853317260743,1.080000125,-0.014285507202148436
1.1,0.13323606491088869,1.100000125,-0.009316635131835936
1.12,0.12826688766479494,1.120000125,-0.019254379272460938
1.1400000000000001,0.12826688766479494,1.140000125,-0.0043477630615234375
1.16,0.14317441940307618,1.1600001249999998,-0.0043477630615234375
1.18,0.12329771041870118,1.1800001249999998,-0.014285507202148436
1.2,0.13323606491088869,1.2000001249999999,-0.0043477630615234375
1.22,0.12329771041870118,1.2200001249999999,-0.019254379272460938
1.24,0.12826688766479494,1.240000125,-0.014285507202148436
1.26,0.12826688766479494,1.260000125,-0.019254379272460938
1.28,0.11832853317260743,1.280000125,-0.019254379272460938
